Participant,Event Duration [ms],Saccade Start Position X [px],Saccade Start Position Y [px],Saccade End Position X [px],Saccade End Position Y [px],Saccade Amplitude [°],Saccade Acceleration Average [°/s²],Saccade Acceleration Peak [°/s²],Saccade Deceleration Peak [°/s²],Saccade Velocity Average [°/s],Saccade Velocity Peak [°/s],Saccade Peak Velocity at [%],Label
calvin (1),99.6,94.1,-61.8,216.2,101.6,0.9,11397.4,25299.3,0.3,136.8,418.7,16.7,B
calvin (1),66.4,211.5,99.6,29.5,-164.1,1.5,15111.1,32540.1,1601.5,227.6,605.8,49.8,B
calvin (1),514.7,450.7,843,458.5,616.8,2.3,43129.2,450452.5,31.3,465.5,5997.4,9.7,B
calvin (1),846.4,-260.8,9418.6,438,6329,1.7,51627.5,207313.4,33.3,680.1,2911.6,52.9,B
calvin (1),249.1,525.7,5953.4,1218.1,3051.7,3.3,48739.5,202348.3,52.2,608.1,3353.8,79.8,B
calvin (1),82.6,1854.8,1574.8,1598.3,1990.1,1.2,45834,97260.9,13303.7,422.1,1419.7,40.2,B
calvin (1),248.9,1595.7,2180.6,1410.1,2469.3,2.1,13178.4,47448.4,4.1,145.8,818.3,40,B
calvin (1),116.2,1412,2457.9,1564.9,2133.5,2.8,22867.9,64165.9,3,251.4,942,71.4,B
calvin (1),1028.6,1460.8,2671.4,1766,2249.2,3.1,4132445.3,53870339,95,50801.5,652704.3,33.9,B
calvin (1),49.7,296.5,148.8,355.6,219.1,1.1,14479.3,25374.5,1921.3,158.9,332.7,33.3,B
calvin (1),66.1,243.7,110,258.5,110.8,0.8,2098.5,2479.7,1592.7,19.3,40.6,49.8,B
calvin (1),50.4,253.4,70.6,282.9,103.3,0.5,7972.2,12555.5,4976.8,87.3,162.7,34,B
calvin (1),66.3,295.3,114.6,164.7,-60,1.5,15708.6,26380.1,1939.1,216.8,446.2,24.4,B
calvin (1),66.8,180.1,-41.5,265.6,70.6,0.9,10822.2,21183,3.3,100.3,360.5,49.7,B
calvin (1),83.3,173.4,-57,224.5,14.1,0.5,10803.1,18692.3,511.8,124.6,219.4,59.6,B
calvin (1),597.4,194.5,2715.8,524,2680,1.3,151686.7,1546495.8,41.9,1779.7,24089.4,25.1,B
calvin (1),99.6,629.4,2754.3,-61.3,2786.4,1.6,47232.6,127739.6,4.9,402.4,2058.5,66.5,B
calvin (1),1128.2,-43.1,2764.6,1692.1,1275.8,6.1,8720465.2,224151067.6,10.8,108203.7,3308598.9,42.7,B
calvin (1),83.3,263.9,85,-42.3,-390.1,2.8,27320.1,52170.6,891.2,375.1,1060.3,40.4,B
calvin (1),49.8,45.5,-242.5,56.4,-240.3,0.6,2796.3,4684.5,325,41.1,60.1,0,B
calvin (1),697,235.6,52.7,495.2,166.1,12.2,733603.5,11846221.2,6.7,8605.9,127562.6,52.4,B
calvin (1),49.9,210.4,90.4,151.5,12.8,0.9,4122.8,11756,46.3,102.5,232.8,66.4,B
calvin (1),49.6,21.7,-198.1,199.2,47.2,1.4,41971.2,62842.5,4410.7,355.2,945.2,33.2,B
calvin (1),49.8,209.9,41,304.7,152.8,1.3,17478.6,26160.1,1582.2,148.4,420.5,33.3,B
calvin (1),66.3,173.2,64.4,94.6,-25.5,1,8527.8,14634.3,1499,111.2,204.2,24.2,B
calvin (1),99.9,194.3,70.8,217.9,97,0.6,4371.2,11139.8,32.4,62.9,158.2,0,B
calvin (1),49.8,264.8,147.6,195,73.6,1.1,11612.9,17306.9,1093.6,102.4,287.5,32.8,B
calvin (1),33.3,226.7,115.8,248.6,140.8,0.9,2096,4157.3,34.6,93.2,93.5,0,B
calvin (1),66,220.1,103.7,-17.6,-218.1,2.2,19961,38243.4,2041.8,328.9,628,25.4,B
calvin (1),49.9,193.2,65.9,240,114.8,1,2532.7,6037.5,31.7,90.9,103.4,66.9,B
calvin (1),50.1,228.4,98.5,312.6,194.4,1.6,10404.9,14924.1,3838.9,129.9,280.3,33,B
calvin (1),132.9,300.4,169.7,102.3,-73.9,2.6,15950.4,51169.6,27.5,191.1,724.3,24.9,B
calvin (1),66.5,107.3,-71,263.2,127.8,1.8,14771.1,28879,647.8,197.2,456.7,24.9,B
calvin (1),49.9,253.4,114.8,203.1,56.2,0.8,3061.8,4233.2,1514.3,87.8,118.7,33.4,B
calvin (1),49.9,180.3,24.2,265.9,118.5,1.4,12115.8,18735,10.2,121.1,322.5,33.4,B
calvin (1),49.8,191.4,25,172.4,-0.9,0.6,1085.9,2852.3,9.6,46.2,48.1,0,B
calvin (1),65.9,128.3,-58.3,210.1,46.3,1.1,8324.2,16972.7,237.7,117,271.8,50.3,B
