Participant,Event Duration [ms],Saccade Start Position X [px],Saccade Start Position Y [px],Saccade End Position X [px],Saccade End Position Y [px],Saccade Amplitude [°],Saccade Acceleration Average [°/s²],Saccade Acceleration Peak [°/s²],Saccade Deceleration Peak [°/s²],Saccade Velocity Average [°/s],Saccade Velocity Peak [°/s],Saccade Peak Velocity at [%],Label
calvin (1),498.1,322.5,113.2,537.1,634.6,9.1,3704737.5,45936274,514.8,44752.4,604255.5,33.3,N
calvin (1),50.1,521.9,506.1,541.2,528.8,1.8,1275.7,3438.9,19.6,40.7,44.2,65.9,N
calvin (1),66.1,538.4,537.4,507.9,494,2.2,6914.8,10852.9,366.2,129.9,173.5,24.6,N
calvin (1),614.2,587.5,693.9,475.9,1155,2.6,329831.2,2594886,1241.1,5150,29867.6,56.7,N
calvin (1),946.1,562.6,812,320.5,220.9,4.7,560246.4,7807691,11.8,7274.4,100392.7,68.4,N
calvin (1),66.7,324.9,219.4,186.5,40.3,2.4,11296.2,22365.8,461.1,264.5,347.6,0,N
calvin (1),232.5,384.7,299.4,255,135.5,1.4,24634,89178.8,2252.2,275.3,1074.8,50,N
calvin (1),50.2,286,176.6,212,80.8,1.5,18126.8,28591.9,62.3,301.1,415.1,0,N
calvin (1),133,326.7,243.1,205.7,76.8,1,11759,27336.3,316.8,222,404,24.9,N
calvin (1),464.7,339.7,252.5,333.7,273.7,2.5,83672.9,484939.8,2,1288.7,5058.3,82.1,N
calvin (1),282,397.8,338.9,176.6,-0.5,3.2,10600.9,33858.3,13.4,130.2,609.6,53,N
calvin (1),2605.2,208.2,43.2,-113.9,-669.3,4,1139675.2,17155401.7,73.3,16996.4,177452.9,84.7,N
calvin (1),1493.3,-99.8,-629.7,881.9,3164.8,4.1,482708.1,5556001.2,66.6,8170.9,90078.5,81.1,N
calvin (1),398.1,360.5,7.3,201.1,139.1,16.7,83405.4,567784.1,202.3,1380.6,7796.1,24.9,N
calvin (1),49.9,232.9,150,234.1,182.5,1.5,6062.6,10904.9,3184,76.1,123.9,66.7,N
calvin (1),1626.5,407.2,391.2,121.6,66,3.4,483201.7,12855922.3,62.9,6528.1,123509.3,35.7,N
calvin (1),66.9,394.6,395,292.9,279.9,0.9,10373.4,19357.3,171.7,120.9,314.6,49.9,N
calvin (1),66.1,355.5,346.4,305.5,283.5,1.3,8632.8,14235.4,63.9,169.2,222.7,24.9,N
calvin (1),66.4,387.4,381.8,168.3,96.6,1.9,34017.6,70648.3,1260.4,294.6,1058.7,50.3,N
calvin (1),66.1,209.6,140.1,-4.2,-203.9,1,35236.4,73405.2,225.3,345.2,1125.9,49.9,N
calvin (1),730.3,-1618.8,-3624.4,494.7,148.9,17.4,182392.9,1577278.4,1.1,2064.4,23153,6.8,N
calvin (1),464.7,522.3,190.1,353,325.2,18.1,68222,532823.6,13.1,845.6,9346.4,39.4,N
calvin (1),66.4,265.9,193,305.6,246.3,0.9,7515.2,13032.7,2250.9,63,200,50.2,N
calvin (1),66.4,266.7,202.9,107.2,13.3,2.9,12420,21754.4,408.9,219.4,432.4,50.2,N
calvin (1),862.8,168.9,89.2,7.4,-366.4,7.8,764947.6,7693436.5,140.5,10645.6,73867.3,84.6,N
calvin (1),265.5,-46.9,-444.7,234.6,-118,7.4,11134.2,33346.8,18,129.4,463.4,75.2,N
calvin (1),282,270.6,-58.9,63,-213.1,8,123444.3,858768.2,89.7,1192.2,9849.2,11.7,N
calvin (1),348.6,-164.8,-659.9,378.2,462.4,11,778031.8,7162571,55.7,8742.6,87243.4,47.6,N
calvin (1),99.3,133,51.3,356.8,336.4,3.8,28588.5,63037.5,1760.2,344.8,1098.7,49.8,N
calvin (1),66.1,337,293.3,402.7,456.3,2.2,13190,25543.2,46,126.7,442.9,49.4,N
